year0,orig_reg,dest_reg,flow
1995,Western Asia,Southern Asia,142771
1995,Western Asia,Western Asia,546652
2000,Africa,Africa,3357300
2000,Africa,Eastern Asia,3105
2000,Africa,Eastern Europe & Central Asia,14297
2000,Africa,Europe,1906770
2000,Africa,Latin America & Caribbean,5168
2000,Africa,Northern America,334687
2000,Africa,Oceania,45843
2000,Africa,Southern Asia,118
2000,Africa,Western Asia,173959
2000,Eastern Asia,Africa,45031
2000,Eastern Asia,Eastern Asia,3458327
2000,Eastern Asia,Eastern Europe & Central Asia,148626
2000,Eastern Asia,Europe,1029553
2000,Eastern Asia,Latin America & Caribbean,53051
2000,Eastern Asia,Northern America,1991079
2000,Eastern Asia,Oceania,444593
2000,Eastern Asia,Southern Asia,124872
2000,Eastern Asia,Western Asia,480150
2000,Eastern Europe & Central Asia,Africa,2247
2000,Eastern Europe & Central Asia,Eastern Asia,5186
2000,Eastern Europe & Central Asia,Eastern Europe & Central Asia,1259552
2000,Eastern Europe & Central Asia,Europe,1113860
2000,Eastern Europe & Central Asia,Latin America & Caribbean,213
2000,Eastern Europe & Central Asia,Northern America,5850
2000,Eastern Europe & Central Asia,Oceania,933
2000,Eastern Europe & Central Asia,Southern Asia,2013
2000,Eastern Europe & Central Asia,Western Asia,4893
2000,Europe,Africa,299101
2000,Europe,Eastern Asia,34514
2000,Europe,Eastern Europe & Central Asia,598550
2000,Europe,Europe,2756501
2000,Europe,Latin America & Caribbean,39393
2000,Europe,Northern America,79313
2000,Europe,Oceania,80802
2000,Europe,Southern Asia,3733
2000,Europe,Western Asia,151658
