orig,dest,year,age,flow
North-East,North-West,1975,6,2450
Center,North-West,1975,6,2372
South,North-West,1975,6,8288
Islands,North-West,1975,6,4231
North-West,North-East,1975,6,2837
North-East,North-East,1975,6,0
Center,North-East,1975,6,1635
South,North-East,1975,6,2557
Islands,North-East,1975,6,1023
North-West,Center,1975,6,2702
North-East,Center,1975,6,1459
Center,Center,1975,6,0
South,Center,1975,6,5029
Islands,Center,1975,6,1736
North-West,South,1975,6,6012
North-East,South,1975,6,1302
Center,South,1975,6,3054
South,South,1975,6,0
Islands,South,1975,6,1165
North-West,Islands,1975,6,3189
North-East,Islands,1975,6,610
Center,Islands,1975,6,1117
South,Islands,1975,6,1028
Islands,Islands,1975,6,0
North-West,North-West,1975,7,0
North-East,North-West,1975,7,1525
Center,North-West,1975,7,1419
South,North-West,1975,7,3665
Islands,North-West,1975,7,2039
North-West,North-East,1975,7,2001
North-East,North-East,1975,7,0
Center,North-East,1975,7,959
South,North-East,1975,7,1199
Islands,North-East,1975,7,554
North-West,Center,1975,7,1914
North-East,Center,1975,7,965
Center,Center,1975,7,0
South,Center,1975,7,2517
Islands,Center,1975,7,919
North-West,South,1975,7,3506
North-East,South,1975,7,749
Center,South,1975,7,1814
South,South,1975,7,0
Islands,South,1975,7,619
North-West,Islands,1975,7,2126
North-East,Islands,1975,7,385
Center,Islands,1975,7,654
South,Islands,1975,7,558
Islands,Islands,1975,7,0
North-West,North-West,1975,8,0
North-East,North-West,1975,8,1162
Center,North-West,1975,8,961
South,North-West,1975,8,2358
Islands,North-West,1975,8,1312
North-West,North-East,1975,8,1709
North-East,North-East,1975,8,0
Center,North-East,1975,8,762
South,North-East,1975,8,860
Islands,North-East,1975,8,338
North-West,Center,1975,8,1468
North-East,Center,1975,8,753
Center,Center,1975,8,0
South,Center,1975,8,1820
Islands,Center,1975,8,700
North-West,South,1975,8,2279
North-East,South,1975,8,537
Center,South,1975,8,1416
South,South,1975,8,0
Islands,South,1975,8,397
North-West,Islands,1975,8,1385
North-East,Islands,1975,8,278
Center,Islands,1975,8,497
South,Islands,1975,8,387
Islands,Islands,1975,8,0
